url,error
http://ufcstats.com/fight-details/9be14b958737f074,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5511eaf7873c4a21,'NoneType' object is not iterable
http://ufcstats.com/fight-details/26024189488b22a5,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4b97406fa671a438,'NoneType' object is not iterable
http://ufcstats.com/fight-details/98f15526cc0a461c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a2a34b7875a79ca1,'NoneType' object is not iterable
http://ufcstats.com/fight-details/339b8d0fe27e1603,'NoneType' object is not iterable
http://ufcstats.com/fight-details/713f44a1e2deaae4,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5116d22da5be2ffa,'NoneType' object is not iterable
http://ufcstats.com/fight-details/c4b79df91cdd4447,'NoneType' object is not iterable
http://ufcstats.com/fight-details/30709acd9d024680,'NoneType' object is not iterable
http://ufcstats.com/fight-details/432d023d03add311,'NoneType' object is not iterable
http://ufcstats.com/fight-details/1c0fba5b885e8a15,'NoneType' object is not iterable
http://ufcstats.com/fight-details/982eea5a54537892,'NoneType' object is not iterable
http://ufcstats.com/fight-details/2f5e1c2bb8dec84b,'NoneType' object is not iterable
http://ufcstats.com/fight-details/2b39788a4f9530d1,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5735250a204e2d47,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ec2ceffc80b80fb8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/e821a0960a9dac35,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d68458d7ceeae267,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9dfbd2badf98ad35,'NoneType' object is not iterable
http://ufcstats.com/fight-details/272f300e7c598e05,'NoneType' object is not iterable
http://ufcstats.com/fight-details/dd821478446b6c78,'NoneType' object is not iterable
http://ufcstats.com/fight-details/eb8a108217b234cb,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7d04116c1d12ea11,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/6e56bce310375396,'NoneType' object is not iterable
http://ufcstats.com/fight-details/4d8c89f5dde017da,'NoneType' object is not iterable
http://ufcstats.com/fight-details/319640b7e4a7ff44,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f3e8d68765b2a75d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/01d1432bdc132de1,'NoneType' object is not iterable
http://ufcstats.com/fight-details/d781ee8ef1a4bb65,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8ae1d7d789476d4c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/417c185bcf76408f,'NoneType' object is not iterable
http://ufcstats.com/fight-details/93908423a3e7c251,'NoneType' object is not iterable
http://ufcstats.com/fight-details/8bc13c385e828260,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/010b638fd558699a,'NoneType' object is not iterable
http://ufcstats.com/fight-details/eb460412c805f220,'NoneType' object is not iterable
http://ufcstats.com/fight-details/f6b66c307423061c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/79438e61641cce04,'NoneType' object is not iterable
http://ufcstats.com/fight-details/0c04a9b641f4a3c3,'NoneType' object is not iterable
http://ufcstats.com/fight-details/36cf2a8849a4a6ff,'NoneType' object is not iterable
http://ufcstats.com/fight-details/a33a807420802954,cannot access local variable 'winner' where it is not associated with a value
http://ufcstats.com/fight-details/df8d4ceb9239f2f8,'NoneType' object is not iterable
http://ufcstats.com/fight-details/34ce39dcc45787c6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/ac1643d70b0b984c,'NoneType' object is not iterable
http://ufcstats.com/fight-details/80baa3ae3092693d,'NoneType' object is not iterable
http://ufcstats.com/fight-details/704cf5fe7c155e66,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9d3b1af3fbbfa381,'NoneType' object is not iterable
http://ufcstats.com/fight-details/7ae8467e67ea5b29,'NoneType' object is not iterable
http://ufcstats.com/fight-details/74b5745fa01bb350,'NoneType' object is not iterable
http://ufcstats.com/fight-details/9f923cf0420518e6,'NoneType' object is not iterable
http://ufcstats.com/fight-details/529b8ef33e81f219,'NoneType' object is not iterable
http://ufcstats.com/fight-details/608fb46a1ec8c5ae,'NoneType' object is not iterable
http://ufcstats.com/fight-details/5c8b91073cc25f33,'NoneType' object is not iterable
http://ufcstats.com/fight-details/3b41b638b6358274,'NoneType' object is not iterable
http://ufcstats.com/fight-details/2e44c51dd9cf3910,cannot access local variable 'winner' where it is not associated with a value
