fight_id,Fighter,KD_x,Sig. str._x,Sig. str. %_x,Total str._x,Td_x,Td %_x,Sub. att_x,Rev._x,Ctrl_x,Round,KD_y,Sig. str._y,Sig. str. %_y,Total str._y,Td_y,Td %_y,Sub. att_y,Rev._y,Ctrl_y,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
53d6e37063f9c404,Gian Villante,0,23 of 67,34%,23 of 67,0 of 1,0%,0,0,0:04,3,,,34%,,,,,,,23 of 67,19 of 61,1 of 3,3 of 3,23 of 66,0 of 1,0 of 0
53d6e37063f9c404,Ed Herman,0,84 of 223,37%,85 of 224,0 of 1,0%,0,0,0:06,0,0,84 of 223,37%,85 of 224,0 of 1,0%,0,0,0:06,,,,,,,
53d6e37063f9c404,Ed Herman,0,24 of 78,30%,24 of 78,0 of 0,---,0,0,0:00,1,,,30%,,,,,,,24 of 78,17 of 69,3 of 4,4 of 5,24 of 78,0 of 0,0 of 0
53d6e37063f9c404,Ed Herman,0,39 of 84,46%,39 of 84,0 of 0,---,0,0,0:00,2,,,46%,,,,,,,39 of 84,30 of 72,1 of 4,8 of 8,38 of 83,1 of 1,0 of 0
53d6e37063f9c404,Ed Herman,0,21 of 61,34%,22 of 62,0 of 1,0%,0,0,0:06,3,,,34%,,,,,,,21 of 61,16 of 49,3 of 9,2 of 3,21 of 57,0 of 2,0 of 2
7b1d63d0e3e12804,Raphael Assuncao,0,53 of 101,52%,93 of 143,3 of 8,37%,0,0,4:56,0,0,53 of 101,52%,93 of 143,3 of 8,37%,0,0,4:56,,,,,,,
7b1d63d0e3e12804,Raphael Assuncao,0,13 of 27,48%,25 of 39,1 of 2,50%,0,0,1:34,1,,,48%,,,,,,,13 of 27,8 of 21,2 of 2,3 of 4,8 of 22,0 of 0,5 of 5
7b1d63d0e3e12804,Raphael Assuncao,0,20 of 32,62%,36 of 48,1 of 5,20%,0,0,2:05,2,,,62%,,,,,,,20 of 32,9 of 20,3 of 4,8 of 8,7 of 19,11 of 11,2 of 2
7b1d63d0e3e12804,Raphael Assuncao,0,20 of 42,47%,32 of 56,1 of 1,100%,0,0,1:17,3,,,47%,,,,,,,20 of 42,15 of 36,2 of 3,3 of 3,16 of 37,0 of 0,4 of 5
7b1d63d0e3e12804,Johnny Eduardo,0,28 of 85,32%,30 of 88,0 of 0,---,1,0,0:04,0,0,28 of 85,32%,30 of 88,0 of 0,---,1,0,0:04,,,,,,,
7b1d63d0e3e12804,Johnny Eduardo,0,7 of 20,35%,9 of 23,0 of 0,---,0,0,0:00,1,,,35%,,,,,,,7 of 20,4 of 14,2 of 3,1 of 3,7 of 20,0 of 0,0 of 0
7b1d63d0e3e12804,Johnny Eduardo,0,7 of 26,26%,7 of 26,0 of 0,---,0,0,0:04,2,,,26%,,,,,,,7 of 26,1 of 16,3 of 4,3 of 6,5 of 24,2 of 2,0 of 0
7b1d63d0e3e12804,Johnny Eduardo,0,14 of 39,35%,14 of 39,0 of 0,---,1,0,0:00,3,,,35%,,,,,,,14 of 39,10 of 31,2 of 4,2 of 4,14 of 39,0 of 0,0 of 0
02f5621f480ad1d4,Jeremy Stephens,0,57 of 104,54%,57 of 104,0 of 0,---,0,0,0:06,0,0,57 of 104,54%,57 of 104,0 of 0,---,0,0,0:06,,,,,,,
02f5621f480ad1d4,Jeremy Stephens,0,40 of 64,62%,40 of 64,0 of 0,---,0,0,0:00,1,,,62%,,,,,,,40 of 64,16 of 36,7 of 10,17 of 18,40 of 64,0 of 0,0 of 0
02f5621f480ad1d4,Jeremy Stephens,0,17 of 40,42%,17 of 40,0 of 0,---,0,0,0:06,2,,,42%,,,,,,,17 of 40,8 of 30,2 of 2,7 of 8,16 of 39,1 of 1,0 of 0
02f5621f480ad1d4,Calvin Kattar,1,52 of 113,46%,52 of 113,0 of 1,0%,0,0,0:06,0,1,52 of 113,46%,52 of 113,0 of 1,0%,0,0,0:06,,,,,,,
02f5621f480ad1d4,Calvin Kattar,0,26 of 66,39%,26 of 66,0 of 1,0%,0,0,0:00,1,,,39%,,,,,,,26 of 66,15 of 54,7 of 8,4 of 4,26 of 65,0 of 1,0 of 0
02f5621f480ad1d4,Calvin Kattar,1,26 of 47,55%,26 of 47,0 of 0,---,0,0,0:06,2,,,55%,,,,,,,26 of 47,17 of 38,5 of 5,4 of 4,21 of 38,1 of 3,4 of 6
024beecfd3f0ed7a,Matt Schnell,0,22 of 78,28%,25 of 84,0 of 0,---,0,0,0:00,0,0,22 of 78,28%,25 of 84,0 of 0,---,0,0,0:00,,,,,,,
024beecfd3f0ed7a,Matt Schnell,0,20 of 69,28%,23 of 75,0 of 0,---,0,0,0:00,1,,,28%,,,,,,,20 of 69,17 of 63,1 of 4,2 of 2,19 of 65,1 of 4,0 of 0
024beecfd3f0ed7a,Matt Schnell,0,2 of 9,22%,2 of 9,0 of 0,---,0,0,0:00,2,,,22%,,,,,,,2 of 9,1 of 7,0 of 1,1 of 1,2 of 9,0 of 0,0 of 0
024beecfd3f0ed7a,Steve Erceg,1,34 of 72,47%,34 of 72,0 of 1,0%,0,0,0:05,0,1,34 of 72,47%,34 of 72,0 of 1,0%,0,0,0:05,,,,,,,
024beecfd3f0ed7a,Steve Erceg,0,32 of 67,47%,32 of 67,0 of 1,0%,0,0,0:04,1,,,47%,,,,,,,32 of 67,23 of 56,8 of 10,1 of 1,28 of 62,4 of 5,0 of 0
024beecfd3f0ed7a,Steve Erceg,1,2 of 5,40%,2 of 5,0 of 0,---,0,0,0:01,2,,,40%,,,,,,,2 of 5,1 of 4,1 of 1,0 of 0,2 of 5,0 of 0,0 of 0
dba1add63d4bcbaa,Antonio Rodrigo Nogueira,1,20 of 49,40%,45 of 85,1 of 3,33%,3,0,4:06,0,1,20 of 49,40%,45 of 85,1 of 3,33%,3,0,4:06,,,,,,,
dba1add63d4bcbaa,Antonio Rodrigo Nogueira,0,12 of 31,38%,32 of 59,0 of 2,0%,0,0,1:26,1,,,38%,,,,,,,12 of 31,11 of 30,0 of 0,1 of 1,12 of 29,0 of 2,0 of 0
dba1add63d4bcbaa,Antonio Rodrigo Nogueira,1,8 of 18,44%,13 of 26,1 of 1,100%,3,0,2:40,2,,,44%,,,,,,,8 of 18,8 of 18,0 of 0,0 of 0,5 of 11,0 of 0,3 of 7
dba1add63d4bcbaa,Dave Herman,0,13 of 32,40%,14 of 33,2 of 2,100%,0,0,1:03,0,0,13 of 32,40%,14 of 33,2 of 2,100%,0,0,1:03,,,,,,,
dba1add63d4bcbaa,Dave Herman,0,13 of 30,43%,14 of 31,1 of 1,100%,0,0,0:27,1,,,43%,,,,,,,13 of 30,3 of 18,5 of 7,5 of 5,11 of 24,1 of 3,1 of 3
dba1add63d4bcbaa,Dave Herman,0,0 of 2,0%,0 of 2,1 of 1,100%,0,0,0:36,2,,,0%,,,,,,,0 of 2,0 of 1,0 of 1,0 of 0,0 of 2,0 of 0,0 of 0
d71ad0033de24fff,Karolina Kowalkiewicz,0,127 of 333,38%,142 of 348,1 of 2,50%,0,0,0:10,0,0,127 of 333,38%,142 of 348,1 of 2,50%,0,0,0:10,,,,,,,
d71ad0033de24fff,Karolina Kowalkiewicz,0,29 of 106,27%,29 of 106,0 of 0,---,0,0,0:00,1,,,27%,,,,,,,29 of 106,21 of 91,5 of 12,3 of 3,28 of 104,1 of 2,0 of 0
d71ad0033de24fff,Karolina Kowalkiewicz,0,51 of 107,47%,64 of 120,1 of 2,50%,0,0,0:09,2,,,47%,,,,,,,51 of 107,42 of 92,9 of 15,0 of 0,34 of 86,12 of 16,5 of 5
d71ad0033de24fff,Karolina Kowalkiewicz,0,47 of 120,39%,49 of 122,0 of 0,---,0,0,0:01,3,,,39%,,,,,,,47 of 120,32 of 101,14 of 17,1 of 2,33 of 104,14 of 16,0 of 0
d71ad0033de24fff,Jodie Esquibel,0,65 of 175,37%,66 of 176,0 of 1,0%,0,0,1:13,0,0,65 of 175,37%,66 of 176,0 of 1,0%,0,0,1:13,,,,,,,
d71ad0033de24fff,Jodie Esquibel,0,24 of 76,31%,24 of 76,0 of 0,---,0,0,0:00,1,,,31%,,,,,,,24 of 76,11 of 43,8 of 28,5 of 5,24 of 76,0 of 0,0 of 0
