fighter_id,record,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Height:,Weight:,Reach:,STANCE:,DOB:,fighter_name
a54b961a1f8be1d5,6-2-0,5.47,43%,5.73,35%,,0.00,0%,77%,0.0,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 30, 2002",John Garza
b852ad2b35354fcb,8-0-0,0.40,54%,0.47,65%,,12.00,66%,100%,3.0,"5' 9""",145 lbs.,"72""",Orthodox,"May 18, 2000",Ezra Elliott
df619b9a86ce0a9a,5-1-0,0.47,35%,0.40,45%,,0.00,0%,33%,1.0,"5' 8""",145 lbs.,"69""",Southpaw,"Jan 04, 1997",Damien Anderson
e03187ec8b5b6abc,6-0-0,9.00,57%,6.60,56%,,0.00,0%,0%,0.0,"6' 3""",258 lbs.,"78""",Orthodox,"Oct 01, 1998",RJ Harris
40a7ec5d1ad6ffa8,6-2-0,0.49,33%,1.23,28%,,0.00,0%,50%,0.0,"5' 4""",125 lbs.,"68""",Orthodox,"May 20, 1997",Anna Melisano
