fighter_id,slpm,sapm,td_avg,sub_avg,weight,reach,stance,dob,fighter_name,wins,losses,draws,str_acc_pct,str_def_pct,td_acc_pct,td_def_pct,height_inches
a54b961a1f8be1d5,5.47,5.73,0.0,0.0,135,68,Orthodox,2002-10-30,John Garza,6,2,0,43,35,0,77,67
b852ad2b35354fcb,0.4,0.47,12.0,3.0,145,72,Orthodox,2000-05-18,Ezra Elliott,8,0,0,54,65,66,100,69
df619b9a86ce0a9a,0.47,0.4,0.0,1.0,145,69,Southpaw,1997-01-04,Damien Anderson,5,1,0,35,45,0,33,68
e03187ec8b5b6abc,9.0,6.6,0.0,0.0,258,78,Orthodox,1998-10-01,RJ Harris,6,0,0,57,56,0,0,75
40a7ec5d1ad6ffa8,0.49,1.23,0.0,0.0,125,68,Orthodox,1997-05-20,Anna Melisano,6,2,0,33,28,0,50,64
