fight_id,fighter,kd,sig_str_pct,td_pct,sub_att,rev,round,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sig_str_landed,sig_str_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_secs
6c79db79da9ae874,Guido Cannetti,0,61,100,1,0,1,8,13,8,13,1,1,8,13,1,5,3,3,4,5,8,13,0,0,0,0,9
6c79db79da9ae874,Randy Costa,0,28,,0,0,0,2,7,2,7,0,0,,,,,,,,,,,,,,,0
6c79db79da9ae874,Randy Costa,0,28,,0,0,1,2,7,2,7,0,0,2,7,0,3,2,4,0,0,2,7,0,0,0,0,0
8c124a6196e39ad8,Mark Munoz,0,67,50,2,0,0,69,102,132,171,5,10,,,,,,,,,,,,,,,566
8c124a6196e39ad8,Mark Munoz,0,54,50,0,0,1,13,24,25,36,2,4,13,24,7,17,6,6,0,1,2,5,8,16,3,3,135
8c124a6196e39ad8,Mark Munoz,0,73,50,0,0,2,28,38,55,67,2,4,28,38,8,14,18,22,2,2,1,6,3,5,24,27,205
8c124a6196e39ad8,Mark Munoz,0,70,50,2,0,3,28,40,52,68,1,2,28,40,21,33,7,7,0,0,2,4,1,2,25,34,226
8c124a6196e39ad8,Tim Boetsch,0,56,33,3,1,0,23,41,50,69,1,3,,,,,,,,,,,,,,,179
8c124a6196e39ad8,Tim Boetsch,0,73,50,1,1,1,17,23,32,39,1,2,17,23,6,9,6,9,5,5,5,10,10,11,2,2,97
8c124a6196e39ad8,Tim Boetsch,0,35,0,0,0,2,5,14,17,26,0,1,5,14,2,7,3,7,0,0,5,10,0,4,0,0,33
8c124a6196e39ad8,Tim Boetsch,0,25,,2,0,3,1,4,1,4,0,0,1,4,1,4,0,0,0,0,1,2,0,1,0,1,49
bb9020ac324fb706,Rafael Dos Anjos,0,29,0,0,0,0,12,41,12,41,0,1,,,,,,,,,,,,,,,22
bb9020ac324fb706,Rafael Dos Anjos,0,29,0,0,0,1,12,41,12,41,0,1,12,41,9,38,2,2,1,1,10,38,2,3,0,0,22
bb9020ac324fb706,Eddie Alvarez,0,57,33,0,0,0,45,78,49,83,1,3,,,,,,,,,,,,,,,20
bb9020ac324fb706,Eddie Alvarez,0,57,33,0,0,1,45,78,49,83,1,3,45,78,34,67,8,8,3,3,20,45,22,30,3,3,20
731a3120fdffa44c,Brandon Vera,2,42,,0,0,0,32,75,32,75,0,0,,,,,,,,,,,,,,,10
731a3120fdffa44c,Brandon Vera,0,43,,0,0,1,25,57,25,57,0,0,25,57,10,38,2,4,13,15,25,57,0,0,0,0,0
731a3120fdffa44c,Brandon Vera,2,38,,0,0,2,7,18,7,18,0,0,7,18,1,11,0,0,6,7,7,18,0,0,0,0,10
731a3120fdffa44c,Michael Patt,0,17,,0,0,0,5,28,5,28,0,0,,,,,,,,,,,,,,,0
731a3120fdffa44c,Michael Patt,0,19,,0,0,1,4,21,4,21,0,0,4,21,2,18,0,0,2,3,4,21,0,0,0,0,0
731a3120fdffa44c,Michael Patt,0,14,,0,0,2,1,7,1,7,0,0,1,7,1,7,0,0,0,0,1,7,0,0,0,0,0
9b10db4499b211b7,Luke Rockhold,0,100,,2,0,0,4,4,9,9,0,0,,,,,,,,,,,,,,,95
9b10db4499b211b7,Luke Rockhold,0,100,,2,0,1,4,4,9,9,0,0,4,4,0,0,4,4,0,0,1,1,0,0,3,3,95
9b10db4499b211b7,Tim Boetsch,0,50,0,0,0,0,1,2,1,2,0,1,,,,,,,,,,,,,,,4
9b10db4499b211b7,Tim Boetsch,0,50,0,0,0,1,1,2,1,2,0,1,1,2,0,0,0,1,1,1,1,2,0,0,0,0,4
c92a4fe402579c49,Chris Wilson,3,65,100,2,0,0,47,72,111,142,2,2,,,,,,,,,,,,,,,540
c92a4fe402579c49,Chris Wilson,1,58,100,1,0,1,17,29,33,45,1,1,17,29,12,19,4,9,1,1,6,16,5,6,6,7,167
c92a4fe402579c49,Chris Wilson,1,66,100,1,0,2,14,21,34,46,1,1,14,21,5,11,8,9,1,1,5,11,0,1,9,9,197
c92a4fe402579c49,Chris Wilson,1,72,,0,0,3,16,22,44,51,0,0,16,22,11,16,5,6,0,0,9,13,1,1,6,8,176
c92a4fe402579c49,Steve Bruno,0,27,7,0,0,0,5,18,8,21,1,13,,,,,,,,,,,,,,,68
c92a4fe402579c49,Steve Bruno,0,40,0,0,0,1,4,10,5,11,0,1,4,10,2,7,0,0,2,3,4,10,0,0,0,0,12
c92a4fe402579c49,Steve Bruno,0,0,0,0,0,2,0,5,2,7,0,4,0,5,0,5,0,0,0,0,0,5,0,0,0,0,20
